doc_id,url,source,title,category,license_note
wise-freeze-card,https://wise.com/help/articles/2977977/how-do-i-freeze-or-unfreeze-my-wise-card,Wise,How do I freeze my Wise card?,cards,Public Wise Help Centre article
wise-lost-card,https://wise.com/help/articles/2935777/my-wise-card-was-lost-or-stolen,Wise,My card has been lost or stolen,cards,Public Wise Help Centre article
wise-transfer-fees,https://wise.com/help/articles/2522717/fees-for-sending-money,Wise,How much does it cost to send money,transfers,Public Wise Help Centre article
wise-exchange-rate,https://wise.com/help/articles/2932395/whats-the-mid-market-exchange-rate,Wise,What exchange rate does Wise use,transfers,Public Wise Help Centre article
wise-2fa,https://wise.com/help/articles/2932125/how-do-i-add-change-or-remove-my-step-verification-settings,Wise,How do I set up 2-step login,security,Public Wise Help Centre article
monzo-freeze-card,https://monzo.com/help/monzo-card-pin/freezing-defrosting,Monzo,Can I freeze my card,cards,Public Monzo Help article
monzo-fraud,https://monzo.com/help/emergencies/report-fraud,Monzo,What should I do if I think I have been a victim of fraud,security,Public Monzo Help article
monzo-international-fees,https://monzo.com/help/travelling/understanding-fees,Monzo,What are Monzo fees for using my card abroad,transfers,Public Monzo Help article
fca-scams,https://www.fca.org.uk/consumers/scams,FCA,How to avoid scams,security,Public FCA consumer guidance
fca-complaint,https://www.fca.org.uk/consumers/how-to-complain,FCA,How to complain,general,Public FCA consumer guidance
